time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,pinn_E,pinn_N,pinn_U
4.000000000000000000e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.334507767691206936e+00,-3.981546782712065635e+00,2.720176816079894877e+01,-1.781767176191806357e-02,-2.425622367123686729e+00,3.676551589755234772e-01
4.099999904632568359e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.155213022033802162e+00,-3.927997937609379875e+00,2.714191503596854105e+01,-5.628882410124624869e-01,-3.206563582827275383e+00,7.770070560033310869e-01
4.199999809265136719e+00,-1.029827988875844577e-02,-7.675507928892044696e-11,-1.100000086783977336e-02,2.186791757773493217e+00,-3.907718567536984544e+00,2.723907475549762935e+01,-6.990462739953056115e-01,-3.819040343033419660e-01,3.056525476652929285e-01
4.299999952316284180e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,2.266931005018468781e+00,-3.891164442140357949e+00,2.737797591197149671e+01,3.485590892012080388e-01,2.858744041274263736e-02,1.061174602385925425e+00
4.399999856948852539e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,2.199911389259549210e+00,-3.869015620762136898e+00,2.734729436747601383e+01,3.087643137380702285e-02,-1.590130017811087093e+00,-3.365884650511468124e-01
4.500000000000000000e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.219641022251567009e+00,-3.827746899622960441e+00,2.739157555315383163e+01,-1.996349768176468586e-01,-6.983118372145131758e-01,1.003728887785264590e-01
4.599999904632568359e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,2.559193803722644489e+00,-3.790829552373558009e+00,2.763328001051183236e+01,8.586745995829350164e-01,5.023442376044693347e-01,1.235149832060294273e+00
4.699999809265136719e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.483631616289784461e+00,-3.786602798102160605e+00,2.762110501651012839e+01,6.861697489573259645e-01,1.285570562098392600e-02,9.785013807221645266e-01
4.799999952316284180e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.466136693414345160e+00,-3.761911611123285759e+00,2.765388437083618456e+01,1.186078309472694770e+00,7.671429677466345964e-02,1.812970836671755848e+00
4.899999856948852539e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,2.589346808749882101e+00,-3.765106408329611298e+00,2.770423204435707376e+01,4.529692357365764366e-01,-8.546849939406442331e-02,9.953489972531919250e-01
5.000000000000000000e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.497448587063448855e+00,-3.749525419033983731e+00,2.762825205857101452e+01,9.512369867597989526e-01,7.513548223600592380e-01,1.456985502784881703e+00
5.099999904632568359e+00,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.480715957825958995e+00,-3.769661166590568158e+00,2.754538603088796123e+01,7.948832189496162215e-01,2.433073736010822330e-01,1.460160687183737593e+00
5.199999809265136719e+00,1.642599966635016617e-10,5.822893551880869989e-10,3.999998747065879046e-03,2.487279759795816503e+00,-3.793962694107123390e+00,2.759690975073781161e+01,6.062160600735264637e-01,1.151154779495171532e+00,1.234658230580951255e+00
5.299999952316284180e+00,1.642599966635016617e-10,5.822893551880869989e-10,3.999998747065879046e-03,2.434690019691684526e+00,-3.778713338138212308e+00,2.757399838332079511e+01,1.018109532243993698e-01,-3.390434906498089873e-01,7.910846984758244105e-01
5.399999856948852539e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.464400300167721269e+00,-3.765200320227732433e+00,2.756020451561800755e+01,8.764506258837556629e-02,-1.241330537634990350e-01,6.495971776663473918e-01
