time_s,gnss_2d,gnss_3d,pinn_2d,pinn_3d,vel_err,pred_sigma_3d
4.699999809265136719e+00,4.534098289424981054e+00,2.799866945215551084e+01,6.965866680917874865e-01,1.207649767714931821e+00,2.169481382534549585e+00,3.527129364013671875e+01
4.799999952316284180e+00,4.503854945073291205e+00,2.802416658218819023e+01,1.198833613092220585e+00,2.178498779932549922e+00,2.225496093115469698e+00,3.535818099975585938e+01
4.899999856948852539e+00,4.575388626704024908e+00,2.808443913184020246e+01,4.710856157368270014e-01,1.105721381489223276e+00,2.409909134126857033e+00,3.507062149047851562e+01
5.000000000000000000e+00,4.505129333528880231e+00,2.799413795193844479e+01,1.212182277305835498e+00,1.896076896580437543e+00,2.487064003443172133e+00,3.517162322998046875e+01
5.099999904632568359e+00,4.512681794236113042e+00,2.791160150893762548e+01,8.312868396405592719e-01,1.679341455478251532e+00,2.639081260029993548e+00,3.532712173461914062e+01
5.199999809265136719e+00,4.536597131261244975e+00,2.796335784759894949e+01,1.301020844172581681e+00,1.790858709845933205e+00,2.678787328671750512e+00,3.484936141967773438e+01
5.299999952316284180e+00,4.495151831407999232e+00,2.793405092199856199e+01,3.539999422001173235e-01,8.630285528178381904e-01,2.780081679385539850e+00,3.528317260742187500e+01
5.399999856948852539e+00,4.500000254416512746e+00,2.792615255787394091e+01,1.519561521580464480e-01,6.681072970395428579e-01,2.809338027754308520e+00,3.514101791381835938e+01
5.500000000000000000e+00,4.510147200600123085e+00,2.797859585031744700e+01,4.002068313823459733e-01,5.928135029860213123e-01,2.992927797051180505e+00,3.497230148315429688e+01
5.599999904632568359e+00,4.423780942954217643e+00,2.786409044212260255e+01,1.403501872205556111e+00,1.418291772912694260e+00,3.048013202986641801e+00,3.467683410644531250e+01
5.699999809265136719e+00,4.505274751189490168e+00,2.791035708976930252e+01,1.016314603562269880e+00,1.663557405513137244e+00,3.110481588201968073e+00,3.510959243774414062e+01
5.799999952316284180e+00,4.495749276502754022e+00,2.776239980054099377e+01,9.260092801204129476e-01,1.288221062573445597e+00,3.207433087585780385e+00,3.492516326904296875e+01
5.899999856948852539e+00,4.483646760169708756e+00,2.769560373584581470e+01,1.021735960632065066e+00,1.163361426362810924e+00,3.302879972261977937e+00,3.504990768432617188e+01
6.000000000000000000e+00,4.469668755780942249e+00,2.771360319112244852e+01,1.364013333932755812e+00,2.147244497869304602e+00,3.403312013332291386e+00,3.529247283935546875e+01
6.099999904632568359e+00,4.464937423490651369e+00,2.766551218885036079e+01,1.314247986782901778e+00,1.792940652807666124e+00,3.506864111981200960e+00,3.513504791259765625e+01
6.199999809265136719e+00,4.504089496953510796e+00,2.783115989298465820e+01,7.576532540893488044e-01,1.328583750878159941e+00,3.583426589781855132e+00,3.521677017211914062e+01
6.299999952316284180e+00,4.528396496934581350e+00,2.795440866620331377e+01,1.945310497733201860e+00,2.388136548992335850e+00,3.581541041530893921e+00,3.504281234741210938e+01
6.399999856948852539e+00,4.524131151387980943e+00,2.800445931856643966e+01,1.290638623156331155e+00,1.793831925602338728e+00,3.772349837822650542e+00,3.518437957763671875e+01
6.500000000000000000e+00,4.530743458527353162e+00,2.811828540563704237e+01,1.131499781218153311e+00,1.300060340064223663e+00,3.851606581931103612e+00,3.496068191528320312e+01
6.599999904632568359e+00,4.475304575807834695e+00,2.810624371270079180e+01,1.022861827725227268e+00,1.504538659333912953e+00,3.888394979305227039e+00,3.504087448120117188e+01
6.699999809265136719e+00,4.934757013056408681e+00,2.742825262902143280e+01,2.219724854120128210e+00,2.226384476946486668e+00,3.992445018975034898e+00,3.542739486694335938e+01
6.799999952316284180e+00,4.905443685893668082e+00,2.755464904469353016e+01,1.747252741814031340e+00,1.831935483916811602e+00,4.072434210154466605e+00,3.525790023803710938e+01
6.899999856948852539e+00,4.713219533537019501e+00,2.731767582346773082e+01,1.001008718761517091e+00,1.016587674034124644e+00,4.194488513451664069e+00,3.519868850708007812e+01
7.000000000000000000e+00,4.704041438125412533e+00,2.730307904523326457e+01,1.536558018575035156e+00,1.544181410544699595e+00,4.214894811447763345e+00,3.511250305175781250e+01
7.099999904632568359e+00,1.204846956586681905e+01,4.223175555102186962e+01,1.429210900617980728e+00,1.037617831956890058e+01,4.378712397710633475e+00,3.407891845703125000e+01
7.199999809265136719e+00,1.209921741033040377e+01,4.228941733875339537e+01,1.452099241160407672e+00,6.451464200077301037e+00,4.468228864285691770e+00,3.369333648681640625e+01
7.299999952316284180e+00,1.209941091975452032e+01,4.226010256216088834e+01,1.566557736808412704e+00,6.116442949011473118e+00,4.513525192958502075e+00,3.345831680297851562e+01
7.399999856948852539e+00,1.202867642845225937e+01,4.225885207901592366e+01,2.188564739424738281e+00,5.611315988558052581e+00,4.725999792811899525e+00,3.348519134521484375e+01
7.500000000000000000e+00,1.213575483200040850e+01,4.222985081702768184e+01,1.820797888825222755e+00,5.687138371625652056e+00,4.797487434084537483e+00,3.351797485351562500e+01
7.599999904632568359e+00,1.211213108048285392e+01,4.225127997161878568e+01,4.840790974736682850e-01,5.922865925688738820e+00,4.873967846435947493e+00,3.371237945556640625e+01
7.699999809265136719e+00,1.197561189389096548e+01,4.218049391948241578e+01,8.425155650297592169e-01,6.149536095174866546e+00,5.052726930547782658e+00,3.367549133300781250e+01
7.799999952316284180e+00,1.203231797661624825e+01,4.221781941651951797e+01,9.293525012177819011e-01,6.107679967870678794e+00,5.206798795862689566e+00,3.373126602172851562e+01
7.899999856948852539e+00,1.201276976140165687e+01,4.223646927997906886e+01,1.197950529106551976e+00,5.975584366342395093e+00,5.235163886077010886e+00,3.361052703857421875e+01
8.000000000000000000e+00,1.210088462711444635e+01,4.227273818342533929e+01,1.555258076574582704e+00,5.912634157621400988e+00,5.351637332426975036e+00,3.356744384765625000e+01
8.099999904632568359e+00,1.215602558409456613e+01,4.226040762367236425e+01,1.971062811137106463e+00,6.118764978238776742e+00,5.322359619473717274e+00,3.359945678710937500e+01
8.199999809265136719e+00,1.205913940127348916e+01,4.216772775006817398e+01,2.332113575412605222e+00,6.890987968014019138e+00,5.386313316283959374e+00,3.363183593750000000e+01
8.299999952316284180e+00,1.219891797824929291e+01,4.213122722981710666e+01,2.477895370176959489e+00,7.383741827495049037e+00,5.240403334798966029e+00,3.347693634033203125e+01
8.399999856948852539e+00,1.218760480128776003e+01,4.216683091866644162e+01,2.782777367314384076e+00,7.523863608221502908e+00,5.075206726688630710e+00,3.337339401245117188e+01
8.500000000000000000e+00,1.217099323488849016e+01,4.217049691824675506e+01,2.934864954506531287e+00,6.200661364894653360e+00,4.841586737696965237e+00,3.345750045776367188e+01
8.599999904632568359e+00,1.210041046109659568e+01,4.208838839773378737e+01,1.994456659179230096e+00,6.715982142926772980e+00,4.656419576669089011e+00,3.344139099121093750e+01
8.699999809265136719e+00,1.212577180486007578e+01,4.210137356809797637e+01,1.904395709128815062e+00,6.393026683992222736e+00,4.537176770077222976e+00,3.349892044067382812e+01
8.799999952316284180e+00,1.213677215492099748e+01,4.210933674214282973e+01,2.228667014108386635e+00,6.914266949336022705e+00,4.423216551109861783e+00,3.345364379882812500e+01
8.899999856948852539e+00,1.218831362145721364e+01,4.220062562274740969e+01,1.873323021254806209e+00,6.027892227022703331e+00,4.340534360182173756e+00,3.360694122314453125e+01
9.000000000000000000e+00,1.225429251401980224e+01,4.216738402701363952e+01,1.908825902979671696e+00,6.186762976230166799e+00,4.220261059308379359e+00,3.347729873657226562e+01
9.099999904632568359e+00,1.226887481379613476e+01,4.216769349796908273e+01,1.741928826291440746e+00,5.941500512656268995e+00,4.184464102365645033e+00,3.346702575683593750e+01
9.199999809265136719e+00,1.224846872379399088e+01,4.211314829915993130e+01,2.187427015238754269e+00,5.973882714692520857e+00,4.116551570853077990e+00,3.346957397460937500e+01
9.299999952316284180e+00,1.225448233183899127e+01,4.205132338132697356e+01,1.396117002992337541e+00,5.766562744942110186e+00,4.080809703944678013e+00,3.354719924926757812e+01
9.399999856948852539e+00,1.224033078611127578e+01,4.205568016792963704e+01,1.558493635026442448e+00,6.048872198022968938e+00,4.060842704331252051e+00,3.350365066528320312e+01
9.500000000000000000e+00,1.226857207359490332e+01,4.202452906389753196e+01,2.228088740804677226e+00,5.971519117374194607e+00,4.124032511672479195e+00,3.354702377319335938e+01
9.599999904632568359e+00,1.250856882175436269e+01,4.209399022944852931e+01,1.176444684959517373e+00,5.813148105872791405e+00,4.000452092312689167e+00,3.352526855468750000e+01
9.699999809265136719e+00,1.243771405954824161e+01,4.208168615986804184e+01,1.734128823560621591e+00,5.958377195942942350e+00,3.955559019325915138e+00,3.359334182739257812e+01
9.799999952316284180e+00,1.240795372290477872e+01,4.210010991505364331e+01,2.000616500122554875e+00,5.763434047359254464e+00,3.947225146530420670e+00,3.352708816528320312e+01
9.899999856948852539e+00,1.254249556609183003e+01,4.210380195782871482e+01,1.504893653196391456e+00,5.925111371050512332e+00,3.891884260141119878e+00,3.353079223632812500e+01
1.000000000000000000e+01,1.249854249207312762e+01,4.204022656066996433e+01,1.393233166068915008e+00,5.691814021116151423e+00,3.825170676318718765e+00,3.360692977905273438e+01
