time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
1.799999952316284180e+00,5.022663200958839447e+00,2.784947062365858628e+01,8.633123134475617633e+00,8.684704627162441071e+00
1.899999856948852539e+00,4.939391143348604629e+00,2.773285423599214994e+01,8.452535349898937511e+00,8.459299947212491233e+00
2.000000000000000000e+00,4.796364703548552377e+00,2.762003905260723968e+01,8.119550010738826984e+00,8.177072058944444777e+00
2.099999904632568359e+00,4.818346579572191146e+00,2.775851637470183064e+01,8.224335052504782695e+00,8.286845391115861048e+00
2.199999809265136719e+00,4.734578975415540292e+00,2.762079123058199315e+01,8.084755944944051365e+00,8.087788466771980822e+00
2.299999952316284180e+00,4.880363194680691130e+00,2.777766860281618122e+01,8.779460308681155567e+00,8.781589038193827079e+00
2.399999856948852539e+00,4.882491517589419239e+00,2.794615972517079783e+01,8.845790546982698288e+00,8.861954821289417694e+00
2.500000000000000000e+00,4.775265544464974532e+00,2.794990846972964604e+01,8.292600394451467238e+00,8.297327060528402853e+00
2.599999904632568359e+00,4.771040252858662178e+00,2.808272047726523013e+01,8.693859349197637698e+00,8.701575042770894441e+00
2.699999809265136719e+00,4.720096787348516010e+00,2.798188608758713514e+01,7.082779898073390257e+00,7.392339168822144480e+00
2.799999952316284180e+00,4.679965809770460616e+00,2.792438107540158754e+01,8.222118069673998164e+00,8.223707216763617822e+00
2.899999856948852539e+00,4.720533986235140311e+00,2.791590199424458163e+01,8.272585899358773531e+00,8.324121508739885655e+00
3.000000000000000000e+00,4.761310879806901042e+00,2.810889978311587001e+01,6.351938558529193202e+00,7.090178692317748776e+00
3.099999904632568359e+00,4.727976629025986810e+00,2.815947635597891718e+01,8.394189953787408953e+00,8.395828640629602546e+00
3.199999809265136719e+00,4.779559256190872851e+00,2.816446792994859294e+01,8.185068516019830653e+00,8.287690104518741663e+00
3.299999952316284180e+00,4.766830665470229711e+00,2.799872672609888014e+01,8.752716134557083194e+00,8.757840342489659591e+00
