time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,nonpinn_E,nonpinn_N,nonpinn_U
2.899999856948852539e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.747444874507452894e+00,-3.831226117925979224e+00,2.750589000632266234e+01,3.428862816554572035e+00,-7.523818738775588599e+00,9.168358986566467195e-01
3.000000000000000000e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.881102815604627665e+00,-3.782840300320089888e+00,2.769571044369557811e+01,3.239934429860532816e+00,-5.457390475986898970e+00,-3.157160378257241717e+00
3.099999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.883766209361278143e+00,-3.738736882879564405e+00,2.775172524892239778e+01,3.916036760089122382e+00,-7.419320598318407178e+00,-1.738721803531149135e-01
3.199999809265136719e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.974460009247017922e+00,-3.733015453153790908e+00,2.774595552892319716e+01,3.622484806686593117e+00,-7.334727918440045791e+00,1.290177168556375875e+00
3.299999952316284180e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,2.859694836244738525e+00,-3.806023364543098531e+00,2.757696237628341152e+01,3.815790233717120117e+00,-7.872171645640510640e+00,-3.125458710920767658e-01
3.399999856948852539e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,2.708676155160521404e+00,-3.856854797269757995e+00,2.739823741571265359e+01,2.973444248984908000e+00,-7.260423780347760925e+00,-4.344760690514455348e-01
3.500000000000000000e+00,-1.029827951583667939e-02,1.933794877700956150e-11,-1.200000052999385634e-02,2.586690491308027973e+00,-3.874268149297499519e+00,2.738031585698942294e+01,3.208326047529036273e+00,-7.682931994359755379e+00,8.590892124734317292e-01
3.599999904632568359e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.300259494084487599e+00,-3.930926694694925949e+00,2.704835072360242876e+01,2.412995257276664418e+00,-7.133779659096171066e+00,-1.094133583686694777e+00
3.699999809265136719e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.365570988330539137e+00,-3.981908374133952044e+00,2.708655250007770121e+01,3.670755948695834547e+00,-8.230201297107583969e+00,-4.400099522385829687e-01
3.799999952316284180e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.473876735678155470e+00,-3.968577216635522653e+00,2.715436599519174621e+01,3.179214856138665724e+00,-7.881217549811181833e+00,9.091617849103741378e-01
3.899999856948852539e+00,-1.029827968137749655e-02,5.399528419866572726e-10,-7.000000981476501780e-03,2.565293938689492848e+00,-3.964444120417510931e+00,2.728402393802587511e+01,2.942615629010461475e+00,-7.415681083689605657e+00,4.378043983835411268e-01
